Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Lachnospiraceae_ND3007_group,0,205,275,258,1268,64,3051,2138,0,0,0,416,21,118,0,0,0,0,51,203,63,1918,0,17,0,0,154,0,45,0,53,0,39,36,0,0,0,44,33,0,220,0,0,0,15,0,0,0,5398,0,0,0,0,16,0,0,0,0,0,0,0,95,117,185,249,116,255,252,86
Lachnospiraceae_NK4A136_group,206,1284,1357,1648,1624,62,2251,1952,0,0,0,91,5321,3709,140,59,0,10161,251,488,844,1484,0,0,12,0,93,239,973,7,1470,38,133,446,0,293,229,97,1,74,187,271,0,183,41,0,0,214,1726,0,0,0,0,35,70,2448,0,73,0,73,496,445,560,774,509,410,219,1027,273
Lachnospiraceae_UCG-001,0,57,7,562,495,25,128,101,0,0,0,0,0,0,0,0,0,119,0,0,0,118,0,0,0,0,0,0,93,0,65,0,71,88,0,0,22,0,0,17,0,0,0,0,0,0,0,124,78,0,0,0,0,0,0,0,0,0,0,0,230,0,31,275,0,63,33,32,12
Lachnospiraceae_UCG-004,146,383,137,679,1164,10,471,388,0,0,0,328,234,110,0,0,0,345,0,521,0,0,0,0,0,0,0,0,0,0,10,0,269,0,0,0,0,0,1083,0,0,0,0,93,413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,117,180,336,79,374,58,353,70
Lachnospiraceae_UCG-010,0,18,12,36,90,0,26,22,0,0,0,0,0,0,2,0,0,15,0,0,14,1,0,0,0,0,0,0,0,0,94,11,20,47,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,14,0,0,0,0,3,31,5,12,11,20,3,42,24
Lactobacillus,0,0,0,15,0,0,0,0,644,984,2177,0,0,0,28,147,756,19,265,0,608,908,493,252,0,9862,0,0,0,0,0,0,256,0,1585,65,31,0,0,0,0,160,2824,58,0,1171,0,43,229,395,35,1590,116,0,0,0,0,26,0,91,53,0,0,14,0,0,0,0,0
Lactonifactor,0,0,0,0,0,0,0,0,0,0,0,10,6,1,11,51,19,0,0,0,5,23,0,0,16,0,0,0,0,11,0,32,0,10,0,0,1060,0,0,0,0,0,0,32,3,0,9,0,26,0,10,0,0,0,20,0,0,186,1,78,374,0,0,0,0,0,0,0,0
Marvinbryantia,40,0,35,15,63,21,64,88,0,0,0,49,146,76,36,33,0,0,14,34,51,83,0,12,19,0,0,0,0,0,34,0,0,30,0,0,0,0,8,18,0,7,0,0,0,0,211,0,12,0,0,0,0,0,0,0,0,0,1,284,0,61,9,0,15,4,34,9,0
Odoribacter,39,66,39,193,357,68,146,133,0,0,0,62,119,23,446,258,9,577,404,324,1678,2070,0,239,35,0,42,0,8,64,87,42,38,21,0,0,0,7,20,0,83,85,0,61,34,0,29,0,102,8,0,0,0,25,0,34,5,0,0,251,220,133,43,124,38,97,361,112,57
Oscillibacter,28,11,17,92,115,0,10,37,0,0,0,236,231,16,157,127,0,80,24,169,134,366,0,150,1093,0,27,0,409,152,412,1414,166,280,0,0,396,42,36,271,152,24,0,22,241,0,31,0,665,0,589,0,0,44,0,39,390,498,83,2812,819,173,23,59,43,49,12,67,0
Oscillospira,0,41,43,22,146,0,59,56,0,0,0,0,0,0,0,0,0,0,22,0,39,0,0,0,59,0,0,0,165,0,23,91,109,16,0,0,0,0,17,0,0,0,0,44,11,0,9,0,0,0,0,0,0,0,0,17,15,0,0,72,11,58,27,0,30,13,0,70,40
Oxalobacter,20,0,0,50,13,0,0,0,0,0,0,0,15,0,12,27,9,0,14,0,38,35,0,18,0,0,0,0,21,57,4,0,16,0,0,0,0,0,0,11,14,0,0,18,0,18,9,10,0,0,0,0,0,0,0,0,14,0,41,61,58,76,0,19,0,0,17,0,0
Parabacteroides,258,606,194,724,1051,267,1378,1318,0,0,0,7942,3199,15,2446,2132,2445,2385,1256,594,3104,1252,0,640,1905,0,335,0,266,770,4434,1104,1087,1073,0,0,0,168,3423,1459,1261,774,5174,4672,1253,27383,36,12467,7073,6079,28,0,0,808,1683,1965,526,121,81,2445,1412,885,258,639,118,463,1187,1767,1699
