Class,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Erysipelotrichia,0.0022484180772813405,0.003208113422332609,0.005012820808981503,0.001922604925141127,0.003145307260912136,0.01718933422773772,0.00349654522238266,0.004160833722196294,0.0,0.053271885121251875,0.07660135813758263,0.013961169896107385,0.0016018570030886111,0.0014538973829847114,0.025299285160623557,0.015219607116382513,0.0035604951417542922,0.028768491881026037,0.0011446498219433603,0.011735463826009766,0.005695911805236565,0.0283399007101672,0.053560731526833216,0.032599246595189806,0.019259352563295133,0.0,0.027951426313142205,0.02878918037842243,0.005032896586627678,0.01656291435377666,0.036895026142914615,0.006204137790460661,0.005061996676466829,0.018178813419269545,0.0,0.08345807326234926,0.1014332545551574,0.004753143207605029,0.012155913590058524,0.022213047068538393,0.009081176861456682,0.0032005364708751175,0.001968472433384012,0.02309041620156275,0.008355252978492959,0.0006508479619160966,0.00330990240906299,0.10019917057732183,0.003014093678775758,0.0,0.012342135476463829,0.033109156751164,0.0,0.03710946382282049,0.027811769941039042,0.010715452466514213,0.05341102827043947,0.07566504810986327,0.01921984886209759,0.0060526532743411495,0.06014205660848769,0.002439456505444478,0.0020316027088036117,0.0011701454775458568,0.001641317430791115,0.0016542317950102978,0.017124394184168015,0.004422647458072426,0.006974195476736079
Flavobacteriia,0.0015738926540969384,0.0,0.0,0.0,0.0,0.0034378668455475447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.379983116030397e-05,0.0,0.0,0.0,0.0,0.0012082414787179913,0.00012427873945849982,0.0010794671566375748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000701069893620264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030254711966965033,0.0,0.0,0.0,0.0,0.0026771290099238403,0.0,0.0
Fusobacteriia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6342303794617723,0.06042278536851514,0.6540796594162707,0.022045973921225967,0.006349876263740482,0.0011724978895037996,0.002196193265007321,0.015845070422535218,0.19932117662717955,0.0004212959062074943,0.0,0.003763870395028851,3.445107946715665e-05,0.002304147465437789,0.0,0.0,0.0,0.0,0.0,0.00019824225203198307,0.0,0.0,0.0,0.0,0.011888022497763008,0.0,0.0,0.0008049255796876325,0.0,0.0,0.00554511957228524,0.0,0.0,0.0,0.10383291990077619,0.0,0.00042549899427510437,0.0,0.015935303350849653,0.0,0.005683985301641938,0.0,0.0,0.0,0.14633679292252305,0.0,0.0017799532762264988,0.0,0.0,0.0,0.0,0.003496935887218666,0.00016656553759027254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gammaproteobacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011777952933228239,0.0,0.0,0.0,0.0,0.0,0.0013995349237791751,0.0,0.008285638227073075,0.0,0.0,0.0,0.0,0.00013357376611233557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0043973723019171485,0.0,0.003272401891857344,0.0,0.024822290645075455,0.010040387493998363,0.0,0.0,0.0,0.0,0.0,0.0,0.0005601344322637434,0.0,0.0,0.0,0.0,0.0,9.302758267826412e-05,0.0,0.0,0.0,0.0029872467542415076,0.0,0.0,0.007056517477948384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Lentisphaeria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001059860946243852,0.0,0.0012861736334405147,0.0,0.0,0.0008512025499855116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012192519889048069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005769674590353105,0.0,0.0
Melainabacteria,0.0,0.0,0.0,0.0,0.0,0.0,0.00025060563027315993,0.0006092186446829464,0.0,0.0,0.0,0.0,0.0,0.0,0.0006674705021100682,0.00020848776871756864,0.0,0.0,0.0,0.0,0.0,0.0016474097820521388,0.0,0.0,5.0384179367678565e-05,0.0,0.0,0.0,0.0,8.98937006989235e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010250943086763979,0.0,0.0,0.0,0.0,0.0,5.089188020051403e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Methanobacteria,0.006167089583400248,0.0,0.0,0.009306225967438434,0.0009297449136029583,0.0005869528760690929,0.0,0.0,0.0,0.0,0.0,0.0006721333512568893,0.0,0.0,0.0,0.0,0.0,0.0,0.0033279633712056957,0.0,0.008474965548920535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014747285158868488,0.0,5.1131279560271e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00524278355229067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020786358511837655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006841380814151553,0.0,0.007590132827324476,0.0,0.0008777556463319947,0.0005308100623124857,0.0,0.0
Mollicutes,0.1755050910609321,0.0006002276725654559,0.0029568712605973838,0.009040333796940194,0.005182833348169682,0.08494046620828444,0.0001312696158573695,0.00023331777881474544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006861104758236336,0.00027556384602340155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032811200755107086,0.0,0.0,0.0,0.0,0.0,0.0,0.005844832405783843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014876524843796492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001697995174118979,0.0008299480190451231,0.0,0.0007198010731579636,0.2202733826675927,0.0009405568096313018,0.009203036053130928,0.0047051099682678624,0.003612302082981671,0.1247172859450727,0.00035030870955029116,0.0013284181860449675
Negativicutes,0.12880223556997394,0.01355686639759909,0.008524105430940896,0.02920723226703754,0.010701957409770221,0.02129800436022137,0.009260474718665338,0.00532742261627002,0.22324062605562436,0.013210591690561041,0.0956092881020552,0.03362587137288038,0.013716500086327629,0.0057217897007785425,0.02056239772629404,0.02256300963676798,0.15163716225209636,0.015106467494011584,0.027810751229438678,0.015197514425210832,0.060473128158015636,0.02564616309356843,0.058212058212058194,0.038358446827006676,0.031616072553218307,0.6077888154509835,0.1484994371392302,0.13304257803035308,0.06874543102963505,0.018315841517405666,0.0263172006971444,0.04686863024867508,0.02845455707529081,0.03462237646669972,0.20849963887938572,0.03129324709803147,0.034992757490279774,0.025758969641214352,0.03612455747417095,0.027043765483071833,0.02672671564103511,0.04194226841832535,0.215219652716652,0.054791899218625414,0.023731239362525133,0.03944138649211545,0.05074046270388315,0.01486958419731529,0.0917810130703754,0.01920095828635851,0.030096768902739036,0.29418865321607174,0.3153077247137222,0.013779617081267905,0.016742685504505504,0.01718392682130023,0.030764141581210727,0.016413953349816796,0.012056087013497576,0.011576300530380064,0.008250942879918144,0.1009580658789536,0.008577878103837474,0.030234029095509166,0.010650326439800123,0.012018500388238082,0.016847449803831068,0.02171913999211805,0.021852479160439715
Opitutae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003179582838731556,0.00014203284509542834,0.0003559944878272853,0.0,0.0,0.00023543900318748196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010154627279021465,0.0,0.0
