Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Family_XIII_AD3011_group,116,46,52,37,17,18,12,27,0,0,0,0,0,0,69,308,0,22,7,0,138,146,0,48,444,0,65,0,20,1358,80,848,37,25,0,0,2259,0,0,0,0,16,0,0,108,0,129,0,0,0,238,0,0,5,0,47,307,808,1355,1018,1684,216,0,13,12,10,64,8,2
Family_XIII_UCG-001,16,44,70,40,6,0,115,56,0,0,0,0,0,0,0,13,0,3,0,0,0,42,0,0,77,0,5,0,79,3,60,0,11,67,0,0,0,0,0,0,22,11,0,6,20,0,0,0,71,0,0,0,0,10,0,14,35,0,7,70,14,70,24,24,37,0,6,58,28
Family_XIII_UCG-002,3,0,8,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Finegoldia,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0
Flavonifractor,10,0,17,68,57,0,9,5,0,33,0,391,613,78,129,66,0,276,42,192,470,149,0,426,313,0,152,301,184,203,261,206,160,236,0,4365,1463,20,7,46,132,73,0,2110,312,0,194,104,248,0,471,67,0,31,3534,53,486,636,144,3007,2338,20,0,65,0,0,16,11,0
Fusicatenibacter,288,421,634,129,456,157,592,599,0,0,0,245,93,9,67,176,0,754,685,146,102,700,2052,433,157,0,80,0,20,0,470,128,68,92,0,0,96,33,761,30,811,384,0,0,101,0,0,0,0,0,0,0,0,320,0,169,166,150,0,175,0,168,210,0,323,50,402,121,78
Fusobacterium,0,0,0,0,0,0,0,0,28163,5205,43457,1148,662,50,102,684,5990,35,0,212,0,207,0,0,0,0,0,9,0,0,0,0,465,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,0,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Gemella,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,0,0,0,0
Gordonibacter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,38,0,0,48,0,0,0,0,0,0,0,0,0
Granulicatella,0,0,0,0,0,0,0,0,0,0,124,8,37,0,0,0,0,38,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,29,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
