Order,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Enterobacteriales,0,0,0,0,0,0,0,0,523,0,0,0,0,0,65,0,249,0,0,0,0,0,0,0,0,0,0,0,0,0,328,0,128,0,653,711,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,78,0,0,216,0,0,0,0,0,0,0,0,0,0,0,0,0
Erysipelotrichales,70,155,217,94,318,205,293,321,0,4589,5110,727,167,62,1175,657,107,2390,54,661,496,2546,1520,1800,1529,0,1167,1307,179,737,2752,487,198,660,0,5910,7983,31,673,538,246,105,123,724,432,35,97,7345,324,0,301,192,0,816,500,328,2099,2540,880,881,10110,179,54,37,45,49,742,202,210
Flavobacteriales,49,0,0,0,0,41,0,0,0,0,0,0,0,4,0,0,0,0,57,7,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,116,0,0
Fusobacteriales,0,0,0,0,0,0,0,0,28163,5205,43633,1148,662,50,102,684,5990,35,0,212,3,207,0,0,0,0,0,9,0,0,0,0,465,0,0,57,0,0,307,0,0,0,6488,0,22,0,467,0,611,0,0,0,3821,0,32,0,0,0,0,509,28,0,0,0,0,0,0,0,0
Gastranaerophilales,0,0,0,0,0,0,21,47,0,0,0,0,0,0,31,9,0,0,0,0,0,148,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Lactobacillales,0,760,788,201,211,0,696,442,3984,2101,4485,151,940,429,833,184,1063,2033,388,387,3421,1280,2080,589,74,9889,0,16,105,37,284,112,275,547,2373,463,357,14,240,190,32,443,2578,243,820,1447,91,474,642,458,690,2903,2048,106,47,234,20,236,19,386,221,0,310,45,177,23,8,118,31
Methanobacteriales,192,0,0,455,94,7,0,0,0,0,0,35,0,0,0,0,0,0,157,0,738,0,0,0,0,0,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,172,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,502,0,240,0,26,23,0,0
Micrococcales,0,0,0,0,0,0,0,0,0,61,42,0,12,0,10,0,0,161,0,15,60,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mollicutes_RF9,5464,29,128,442,524,1013,11,18,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16160,25,291,129,107,5377,16,40
NB1-n,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,57,38,0,121,3,0,0,0,0,27,0,0
Neisseriales,0,0,0,0,0,0,0,0,0,0,554,24,16,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pasteurellales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RS-B22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,8,31,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0
Rhodospirillales,0,0,0,0,0,29,57,87,0,0,0,0,271,363,216,645,3,0,0,242,0,265,0,0,397,0,0,0,9,24,0,5,0,0,0,0,0,0,0,0,237,14,0,0,0,0,29,0,0,0,4,0,0,0,0,0,36,0,0,66,0,0,0,0,0,0,71,17,5
Selenomonadales,4010,655,369,1428,1082,254,776,411,9913,1138,6378,1751,1430,244,955,974,4557,1255,1312,856,5266,2304,1652,2118,2510,15357,6200,6040,2445,815,1963,3679,1113,1257,5485,2216,2754,168,2000,655,724,1376,13448,1718,1227,2121,1487,1090,9866,545,734,1706,8233,303,301,526,1209,551,552,1685,1387,7408,228,956,292,356,730,992,658
Synergistales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,19,0,0,0,0,0,17,0,0,0,0,0,0,0,353,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,177,0,359,0,0,0,0,0,0,0,0
Verrucomicrobiales,1011,41,49,1154,653,202,0,13,0,42841,3,7237,1043,10135,9037,14837,11096,181,0,10210,33,0,11475,1245,12089,0,7571,7458,3554,13732,5918,30942,11371,1151,15237,33952,20,102,9303,11414,7029,131,34535,2719,14249,20109,10691,8158,25676,19775,4335,11,0,4526,0,5239,10723,0,15228,24299,70404,3061,18,826,36,181,865,0,0
Victivallales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,112,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0
