Genus,ndc407,ndc408,ndc409,ndc410,ndc411,ndc412,ndc413,ndc414,ndc415,ndc416,ndc417,ndc418,ndc419,ndc420,ndc421,ndc422,ndc423,ndc424,ndc425,ndc426,ndc427,ndc428,ndc429,ndc430,ndc431,ndc432,ndc433,ndc434,ndc435,ndc436,ndc437,ndc438,ndc439,ndc440,ndc441,ndc442,ndc443,ndc444,ndc445,ndc446,ndc447,ndc448,ndc449,ndc450,ndc451,ndc452,ndc453,ndc454,ndc455,ndc456,ndc457,ndc458,ndc459,ndc460,ndc461,ndc462,ndc463,ndc464,ndc465,ndc466,ndc467,ndc468,ndc469,ndc471,ndc470,ndc472,ndc473,ndc474,ndc475
Selenomonas_3,1,1,1,1,1,1,1,1,109,1,1,1,1,1,1,1,56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,390,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Sellimonas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,14,1,1,1,1,1,1,1,1,663,1,79,1,21,31,1,28,1,1,1,1,51,1,1,35,1,1,1,1,1,1,1,17,18,1,1,1,1,1,1,1,94,22,150,1,39,1,1,1,1,1,1,1,1
Senegalimassilia,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1
Shuttleworthia,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,4,1,7,1,1,1
Slackia,28,1,1,1,1,1,1,1,1,1,1,1,47,59,1,1,1,1,17,111,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,47,1,1,1,1,1,1,1
Streptococcus,1,761,754,176,204,1,697,435,1,1028,2235,144,904,430,806,44,18,1977,124,388,271,427,1,1,75,36,1,21,106,38,116,113,20,511,789,79,49,15,212,191,33,36,70,186,792,277,152,453,402,64,656,1337,1,107,51,235,21,104,20,302,73,1,311,32,172,24,9,119,32
Subdoligranulum,1075,5008,5649,3472,4309,159,7140,6938,1,1,1,1,1169,464,970,46,1,2146,283,585,362,2388,492,1192,3656,1,22,1,2394,142,2304,434,99,1179,1,1,1,265,426,1446,165,368,1,1,86,1,1,8488,1,1,1,1,1,210,1,389,3169,1,49,130,1,2479,2173,2152,2881,535,470,456,185
Succiniclasticum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,642,1,1,1,1,1,1,2582,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,506,526,1,237,1,1,1,1,1,1,1,1
Sutterella,9,1,1,1,12,85,1,1,1483,1082,1,1,1,1,215,545,317,474,227,1,408,2057,39,2570,25,1,141,460,1,147,1,151,1,1,1,1,651,1,1,1,1,82,1,38,1,1,1,1,1,1,1,1,1,1,51,1,1,407,67,1,560,1,1,1,1,1,337,1,1
Synergistes,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,354,1,1,1,1,1,1,167,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,272,178,1,360,1,1,1,1,1,1,1,1
Terrisporobacter,1,1,1,1,1,1,1,1,1,34,1,1,1,1,1,1,1,119,1,25,1,1,1,1,1,1,21,125,1,59,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,1,1,1,72,1,1,1,1,1,1,1
Trueperella,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,1,1,92,1,1,1,1,1,1,1,1
Turicibacter,1,67,43,17,18,1,104,117,1,1,1,1,14,1,14,54,1,109,1,12,1,1,1,1,16,1,1,1,101,380,1,10,5,1,1,1,1,8,1,28,141,11,14,1,1,1,1,1,1,1,1,1,1,1,1,1,34,1,545,1,825,72,44,1,19,13,1,169,190
Tyzzerella,6,67,65,1,11,1,87,58,1,1,1,1,1,1,157,1,1,9,1,1,1,443,1217,352,1,1,19,1,6,1,13,42,1,1,1,1,2786,1,13,1,8,1,1,1,1,16,1,677,1,1,1,1,1,1,1,7,1,182,1,811,310,1,46,24,54,15,1,62,32
Tyzzerella_4,1,54,1,1,1,1,1,1,1,113,1,1,1,1,1347,285,1,1,1,1,1,1571,1,1,1,1,1,1,164,1,1,1,1,1,1,1,102,1,1,84,23,1,1,1,1,1,1,2779,1,1,1,1,1,1,1,1,1,1,1,869,3,1,1,1,4,1,1,1,1
Varibaculum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,1,1,12,1,1,1,1,1,1,1,1
Veillonella,1,64,56,12,30,1,72,68,24,371,6379,131,123,71,1,1,40,353,13,224,1,674,1653,444,1,15358,327,755,1,1,61,1,194,51,4596,1468,1,7,1254,1,24,1,5234,129,177,417,33,33,813,9,1,1385,7234,1,1,81,1,1,1,1,1,1,25,8,28,1,1,27,10
Victivallis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,1,90,1,1,48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,26,1,1
Weissella,1,1,1,12,9,1,1,1,1,1,1,1,1,1,1,1,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
